"External ID","ID","Unit of Measure"
"__import__.UOM17","36","0.5 DOZ"
"__import__.UOM1","20","BAG"
"__import__.UOM2","21","BAL"
"__import__.UOM3","22","BAR"
"__import__.UOM4","23","BCH"
"__import__.UOM5","24","BDL"
"__import__.UOM48","67","BG"
"__import__.UOM6","25","BKT"
"__import__.UOM50","69","BO"
"__import__.UOM7","26","BOX"
"__import__.UOM8","27","BTL"
"__import__.UOM49","68","BX"
"__import__.UOM9","28","C/L"
"__import__.UOM10","29","C/S"
"__import__.UOM11","30","C/T"
"__import__.UOM54","73","CA"
"__import__.UOM12","31","CAN"
"__import__.UOM51","70","CL"
"__import__.UOM69","88","CM"
"__import__.UOM52","71","CS"
"__import__.UOM53","72","CT"
"__import__.UOM13","32","CTN"
"__import__.UOM55","74","CU"
"__import__.UOM14","33","CUP"
"__import__.UOM56","75","CY"
"__import__.UOM15","34","CYL"
"__import__.UOM16","35","DOZ"
"__import__.UOM58","77","DR"
"__import__.UOM18","37","DRM"
"__import__.UOM57","76","DZN"
"uom.product_uom_day","5","Day(s)"
"uom.product_uom_dozen","2","Dozen(s)"
"__import__.UOM75","94","FOOT"
"__import__.UOM71","90","GRM"
"__import__.UOM19","38","GRS"
"__import__.UOM20","39","HNK"
"uom.product_uom_hour","6","Hour(s)"
"__import__.UOM72","91","INCH"
"__import__.UOM21","40","JAR"
"__import__.UOM59","78","JR"
"__import__.UOM22","41","KEG"
"__import__.UOM60","79","KGM"
"__import__.UOM23","42","KGS"
"__import__.UOM24","43","KIT"
"__import__.UOM25","44","LGH"
"__import__.UOM61","80","LN"
"__import__.UOM26","45","LOV"
"__import__.UOM27","46","LTR"
"__import__.UOM74","93","LUMPSUM"
"uom.product_uom_litre","11","Liter(s)"
"__import__.UOM73","92","M2"
"__import__.UOM28","47","M3"
"__import__.UOM43","62","ML"
"__import__.UOM70","89","MM"
"__import__.UOM62","81","MTQ"
"__import__.UOM29","48","MTR"
"__import__.UOM66","85","NRL"
"__import__.UOM63","82","PA"
"__import__.UOM30","49","PAD"
"__import__.UOM31","50","PAK"
"__import__.UOM47","66","PCE"
"__import__.UOM32","51","PCS"
"__import__.UOM33","52","PKG"
"__import__.UOM34","53","PKT"
"__import__.UOM64","83","PR"
"__import__.UOM35","54","PRS"
"__import__.UOM36","55","RLS"
"__import__.UOM37","56","SET"
"__import__.UOM38","57","SHT"
"__import__.UOM39","58","SPL"
"__import__.UOM65","84","ST"
"__import__.UOM40","59","TAB"
"__import__.UOM41","60","TIM"
"__import__.UOM42","61","TIN"
"__import__.UOM67","86","TN"
"__import__.UOM68","87","TNE"
"__import__.UOM44","63","TON"
"__import__.UOM45","64","TUB"
"uom.product_uom_unit","1","Unit(s)"
"__import__.UOM46","65","VOL"
"uom.product_uom_cm","10","cm"
"uom.product_uom_floz","17","fl oz"
"uom.product_uom_foot","15","foot(ft)"
"uom.product_uom_gram","4","g"
"uom.product_uom_gal","19","gal(s)"
"uom.product_uom_inch","14","inch(es)"
"uom.product_uom_kgm","3","kg"
"uom.product_uom_km","9","km"
"uom.product_uom_lb","12","lb(s)"
"uom.product_uom_meter","8","m"
"uom.product_uom_mile","16","mile(s)"
"uom.product_uom_oz","13","oz(s)"
"uom.product_uom_qt","18","qt"
"uom.product_uom_ton","7","t"
